id_unidad,clues,clave_presupuestal,nombre_corto,derechohabientes_primer_nivel,derechohabientes_segundo_nivel,derechohabientes_tercer_nivel
U_ISSSTE_171,CHIST000211,008-211-01,CAF Ascensión,986,No aplica,No aplica
U_ISSSTE_172,CHIST000445,008-211-03,CAF Praxedis G. Guerrero,429,No aplica,No aplica
U_ISSSTE_173,CHIST000206,008-211-04,CAF Gral. Rodrigo M. Quevedo (Palomas),179,No aplica,No aplica
U_ISSSTE_174,CHIST000141,008-211-05,UMF Nuevo Casas Grandes,"8,136",No aplica,No aplica
U_ISSSTE_175,CHIST000170,008-211-06,CAF Villa Ahumada,456,No aplica,No aplica
U_ISSSTE_176,CHIST000264,008-211-07,CAF Ricardo Flores Magón,244,No aplica,No aplica
U_ISSSTE_177,CHIST000252,008-211-08,CAF Valle de San Buenaventura,416,No aplica,No aplica
U_ISSSTE_178,CHIST000351,008-211-09,CAF Ignacio Zaragoza,722,No aplica,No aplica
U_ISSSTE_179,CHIST000054,008-213-00,CMF Cd. Delicias,"21,822",No aplica,No aplica
U_ISSSTE_180,CHIST000165,008-213-02,UMF Saucillo,"2,897",No aplica,No aplica
U_ISSSTE_181,CHIST000013,008-213-03,UMF Cd. Camargo,"6,274",No aplica,No aplica
U_ISSSTE_182,CHIST000293,008-217-00,CMF Chihuahua,"116,445",No aplica,No aplica
U_ISSSTE_183,DGIST000042,010-204-00,"HG Dr. Santiago Ramon y Cajal, Dgo.",No aplica,"230,186",No aplica
U_ISSSTE_184,DGIST000346,010-205-00,CMF Cd. Lerdo,"23,463",No aplica,No aplica
U_ISSSTE_185,DGIST000054,010-206-00,CH Gómez Palacio,"54,042","95,021",No aplica
U_ISSSTE_186,DGIST000025,010-206-01,UMF Cuencamé,"2,312",No aplica,No aplica
U_ISSSTE_187,DGIST000136,010-206-03,UMF Rodeo,"1,928",No aplica,No aplica
U_ISSSTE_188,DGIST000100,010-206-05,UMF Las Nieves,"2,042",No aplica,No aplica
U_ISSSTE_189,DGIST000071,010-206-06,UMF Mapimí,"1,095",No aplica,No aplica
U_ISSSTE_190,DGIST000083,010-206-07,UMF Paso Nacional,"1,667",No aplica,No aplica
U_ISSSTE_191,DGIST000380,010-206-08,CAF Peñón Blanco,851,No aplica,No aplica
U_ISSSTE_192,DGIST000416,010-206-09,CAF San Juan de Guadalupe,331,No aplica,No aplica
U_ISSSTE_193,DGIST000112,010-206-10,UMF Santa María del Oro,"2,830",No aplica,No aplica
U_ISSSTE_194,DGIST000170,010-206-11,UMF Tlahualilo de Zaragoza,"2,362",No aplica,No aplica
U_ISSSTE_195,DGIST000363,010-206-12,CAF Cd. Juárez,"1,666",No aplica,No aplica
U_ISSSTE_196,DGIST000404,010-206-13,CAF Santa Clara,512,No aplica,No aplica
U_ISSSTE_197,DGIST000351,010-206-14,CAF Bermejillo,482,No aplica,No aplica
U_ISSSTE_198,DGIST000433,010-206-15,CAF General Simón Bolívar,289,No aplica,No aplica
U_ISSSTE_199,DGIST000450,010-206-16,CAF San Bernardo,370,No aplica,No aplica
U_ISSSTE_200,DGIST000030,010-207-00,CMF Durango,"183,002",No aplica,No aplica
U_ISSSTE_201,DGIST000013,010-207-01,UMF Canatlán de las Manzanas,"4,925",No aplica,No aplica
U_ISSSTE_202,DGIST000206,010-207-02,CAF Canelas,213,No aplica,No aplica
U_ISSSTE_203,DGIST000124,010-207-03,UMF El Salto,"5,133",No aplica,No aplica
U_ISSSTE_204,DGIST000223,010-207-04,CAF Francisco I. Madero,"1,459",No aplica,No aplica
U_ISSSTE_205,DGIST000066,010-207-05,UMF Guadalupe Victoria,"5,295",No aplica,No aplica
U_ISSSTE_206,DGIST000235,010-207-06,CAF Guanaceví,516,No aplica,No aplica
U_ISSSTE_207,DGIST000445,010-207-07,UMF José Guadalupe Aguilera,655,No aplica,No aplica
U_ISSSTE_208,DGIST000095,010-207-08,UMF Nombre de Dios,"2,337",No aplica,No aplica
U_ISSSTE_209,DGIST000194,010-207-09,UMF Nuevo Ideal,"2,468",No aplica,No aplica
U_ISSSTE_210,DGIST000141,010-207-10,UMF San Juan del Río,"1,681",No aplica,No aplica
U_ISSSTE_211,DGIST000281,010-207-11,CAF San Lucas de Ocampo,261,No aplica,No aplica
U_ISSSTE_212,DGIST000153,010-207-12,UMF Santiago Papasquíaro,"7,244",No aplica,No aplica
U_ISSSTE_213,DGIST000293,010-207-13,CAF Súchil,925,No aplica,No aplica
U_ISSSTE_214,DGIST000305,010-207-14,CAF Tamazula de Victoria,746,No aplica,No aplica
U_ISSSTE_215,DGIST000310,010-207-15,CAF Tayoltita,566,No aplica,No aplica
U_ISSSTE_216,DGIST000165,010-207-16,UMF Tepehuanes,"1,095",No aplica,No aplica
U_ISSSTE_217,DGIST000322,010-207-17,CAF Topia,481,No aplica,No aplica
U_ISSSTE_218,DGIST000182,010-207-18,UMF Vicente Guerrero,"3,064",No aplica,No aplica
U_ISSSTE_219,DGIST000334,010-207-19,UMF Villa Unión,"3,587",No aplica,No aplica
U_ISSSTE_220,DGIST000240,010-207-26,CAF Los Remedios,176,No aplica,No aplica
U_ISSSTE_221,DGIST000252,010-207-29,CAF El Mezquital,"3,882",No aplica,No aplica
U_ISSSTE_222,GTIST000086,011-204-00,CH Irapuato,"61,115","136,544",No aplica
U_ISSSTE_223,GTIST000016,011-204-01,UMF Abasolo,"6,579",No aplica,No aplica
U_ISSSTE_224,GTIST000260,011-204-02,CAF Cuerámaro,"2,195",No aplica,No aplica
U_ISSSTE_225,GTIST000103,011-204-03,UMF Moroleón,"3,929",No aplica,No aplica
U_ISSSTE_226,GTIST000115,011-204-04,UMF Pénjamo,"11,527",No aplica,No aplica
