id_unidad,clues,clave_presupuestal,nombre_corto,personal_medico_general_familiar,personal_medico_gineco_obstetra,personal_medico_pediatra,personal_medico_odontologo,personal_medico_cirujano,personal_medico_internista,personal_medico_anestesiologo,personal_medico_geriatra,personal_medico_oncologos,personal_medico_traumatologia_y_ortopedia,personal_medico_otras_especialidades,personal_medico_otras_labores,personal_medico_etapa_aprendizaje_residentes,personal_medico_etapa_aprendizaje_internos,personal_medico_etapa_aprendizaje_pasantes,personal_medico_total,personal_enfermeria_general,personal_enfermeria_especialista,personal_enfermeria_auxiliar,personal_enfermeria_pasante,personal_enfermeria_total,personal_paramedico_laboratorista,personal_paramedico_rayos_x,personal_paramedico_quimicos,personal_paramedico_trabajo_social,personal_paramedico_otros,personal_paramedico_total,personal_administrativo,personal_servicios_generales,personal_total
U_ISSSTE_29,BSIST000031,003-205-03,UMF Puerto San Carlos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_30,BSIST000166,003-205-04,CAF San Isidro,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
U_ISSSTE_31,BSIST000142,003-205-05,CAF San José de Comondú,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_32,BSIST000026,003-205-06,UMF Villa Insurgentes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,3
U_ISSSTE_33,BSIST000154,003-205-07,CAF Ignacio Zaragoza,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
U_ISSSTE_34,BSIST000043,003-206-00,CH Santa Rosalía,14,2,2,2,2,1,3,0,0,0,0,4,0,0,0,30,13,1,22,0,36,6,3,1,1,2,13,37,3,119
U_ISSSTE_35,BSIST000171,003-206-01,CAF Bahía Asunción,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,3
U_ISSSTE_36,BSIST000183,003-206-02,CAF Bahía Tortugas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_37,BSIST000055,003-206-03,UMF Guerrero Negro,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,7,0,8,0,0,0,0,0,0,8,0,21
U_ISSSTE_38,BSIST000195,003-206-04,CAF Mulegé,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,4
U_ISSSTE_39,BSIST000200,003-206-05,CAF Punta Abreojos,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2
U_ISSSTE_40,BSIST000212,003-206-06,CAF San Ignacio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
U_ISSSTE_41,BSIST000060,003-206-07,UMF Sebastián Vizcaíno,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,4
U_ISSSTE_42,BSIST000330,003-207-00,HG La Paz,27,12,12,1,16,11,15,0,1,9,40,23,0,0,0,167,110,55,65,0,230,20,11,12,3,30,76,106,85,664
U_ISSSTE_43,BSIST000270,003-207-02,CAF El Pescadero,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
U_ISSSTE_44,BSIST000265,003-207-03,"CAF UH. FOVISSSTE Catra, La Paz.",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,5
U_ISSSTE_45,BSIST000294,003-207-04,CAF La Ribera,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_46,BSIST000241,003-207-05,CAF Los Barriles,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
U_ISSSTE_47,BSIST000306,003-207-06,CAF San Antonio,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
U_ISSSTE_48,BSIST000282,003-207-07,CAF Miraflores,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
U_ISSSTE_49,BSIST000236,003-207-09,CAF San Juan de los Planes,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
U_ISSSTE_50,BSIST000311,003-207-10,CAF Santiago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2
U_ISSSTE_51,BSIST000084,003-207-11,UMF Todos Santos,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,2,0,0,0,0,0,0,4,0,9
U_ISSSTE_52,BSIST000224,003-207-12,"CAF UH. FOVISSSTE Cihuatán Costa Azul, La Paz",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,1,0,5
U_ISSSTE_53,BSIST000253,003-207-13,CAF Las Pocitas,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
U_ISSSTE_54,BSIST000101,003-208-00,CH San José del Cabo,11,3,3,4,3,2,4,0,0,1,5,3,0,0,0,39,29,9,15,0,53,4,4,0,0,2,10,27,9,138
U_ISSSTE_55,BSIST000321,003-209-00,CMF La Paz,11,0,0,3,0,0,0,0,0,0,0,3,0,0,0,17,4,0,1,0,5,0,2,0,0,2,4,18,0,44
U_ISSSTE_56,BSIST000352,003-211-00,CH Cabo San Lucas,20,6,7,2,8,5,8,1,0,2,7,5,0,0,0,71,90,23,2,0,115,8,7,6,3,26,50,43,20,299
U_ISSSTE_57,CCIST000021,004-204-00,"CH Dr. Patricio Trueba Regil, Camp.",27,9,7,3,9,8,6,0,0,3,14,10,0,0,0,96,79,26,67,0,172,3,8,12,7,30,60,87,24,439
U_ISSSTE_58,CCIST000016,004-204-01,UMF Calkiní,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,0,5,0,0,0,0,1,1,4,0,13
